N,seed,kproj,hyper_w,hyper_M,probes,recall,qps,time_per_query
1,42,16,40,5000,100,0.08333333333333333,135.749678,0.007366499977996265
1,42,16,40,5000,250,0.08333333333333333,188.658481,0.005300583332906195
1,42,16,40,5000,500,0.08333333333333333,180.364336,0.005544333332061832
1,42,16,40,10000,100,0.08333333333333333,86.097419,0.011614750031008479
1,42,16,40,10000,250,0.08333333333333333,84.293341,0.011863333308855322
1,42,16,40,10000,500,0.08333333333333333,72.257816,0.013839333311707067
1,42,16,80,2000,100,0.0,128.796823,0.007764166667371912
1,42,16,80,2000,250,0.0,279.909496,0.003572583332435424
1,42,16,80,2000,500,0.0,541.785182,0.0018457500005971002
1,42,16,80,5000,100,0.08333333333333333,150.0075,0.006666333349999167
1,42,16,80,5000,250,0.08333333333333333,159.328695,0.006276333337193278
1,42,16,80,5000,500,0.08333333333333333,143.348624,0.006975999992856576
1,42,16,80,10000,100,0.08333333333333333,55.413942,0.01804600004814673
1,42,16,80,10000,250,0.08333333333333333,68.625545,0.014571833272872368
1,42,16,80,10000,500,0.08333333333333333,72.206945,0.013849083353408733
1,42,16,120,2000,100,0.0,352.009387,0.00284083333266337
1,42,16,120,2000,250,0.0,360.241362,0.002775916664450097
1,42,16,120,2000,500,0.0,476.776988,0.0020974166647489286
1,42,16,120,5000,100,0.08333333333333333,186.567164,0.0053600000051456
1,42,16,120,5000,250,0.08333333333333333,179.740275,0.005563583342687108
1,42,16,120,5000,500,0.08333333333333333,175.623463,0.005694000009554533
1,42,16,120,10000,100,0.08333333333333333,90.370973,0.011065499980840086
1,42,16,120,10000,250,0.08333333333333333,71.004657,0.014083583278206668
1,42,16,120,10000,500,0.08333333333333333,74.625473,0.013400250072786809
1,42,16,300,2000,100,0.0,416.75349,0.0023995000017876275
1,42,16,300,2000,250,0.0,280.872577,0.0035603333393419896
1,42,16,300,2000,500,0.0,359.195402,0.002784000002316288
1,42,16,300,5000,100,0.08333333333333333,145.627533,0.006866833348059258
1,42,16,300,5000,250,0.08333333333333333,145.371728,0.006878916648772312
1,42,16,300,5000,500,0.08333333333333333,121.946262,0.008200333356671481
1,42,16,300,10000,100,0.08333333333333333,73.43357,0.013617750029039852
1,42,16,300,10000,250,0.08333333333333333,56.322956,0.017754749946007807
1,42,16,300,10000,500,0.08333333333333333,69.400667,0.01440908341702249
1,42,16,500,2000,100,0.0,280.642672,0.003563249996422497
1,42,16,500,2000,250,0.0,672.532646,0.0014869166663472274
1,42,16,500,2000,500,0.0,342.563517,0.0029191666665426023
1,42,16,500,5000,100,0.08333333333333333,156.355866,0.006395666664658428
1,42,16,500,5000,250,0.08333333333333333,170.432757,0.005867416672723307
1,42,16,500,5000,500,0.08333333333333333,171.996159,0.005814083324965413
1,42,16,500,10000,100,0.08333333333333333,77.068321,0.01297550001121732
1,42,16,500,10000,250,0.08333333333333333,78.550482,0.012730666630409728
1,42,16,500,10000,500,0.08333333333333333,78.951004,0.012666083385082728
1,42,16,1000,2000,100,0.0,184.442293,0.005421749988762068
1,42,16,1000,2000,250,0.0,178.69641,0.0055960833236661
1,42,16,1000,2000,500,0.0,462.499036,0.002162166668818743
1,42,16,1000,5000,100,0.08333333333333333,182.754104,0.005471833343890323
1,42,16,1000,5000,250,0.08333333333333333,194.691414,0.005136333336199407
1,42,16,1000,5000,500,0.08333333333333333,139.984135,0.007143666673369807
