N,seed,nlsh_T,nlsh_m,nlsh_layers,nlsh_nodes,nlsh_epochs,nlsh_batch_size,nlsh_lr,recall,qps,time_per_query
50,42,1000,1800,5,256,8,512,0.001,0.30044137022397893,68.62951816,0.014570989667574842
50,42,1000,1800,5,512,8,512,0.001,0.30044137022397893,77.64047592,0.012879879832658295
50,42,1000,1800,10,128,8,512,0.001,0.30044137022397893,75.22621982,0.013293237416326154
50,42,1000,1800,10,256,8,512,0.001,0.30044137022397893,77.07854534,0.01297377883286348
50,42,1000,1800,10,512,8,512,0.001,0.30044137022397893,77.16317014,0.012959550497804366
50,42,1000,1800,15,128,8,512,0.001,0.30044137022397893,77.93722254,0.012830839583573388
50,42,1000,1800,15,256,8,512,0.001,0.30044137022397893,78.3431203,0.012764362667336854
50,42,1000,1800,15,512,8,512,0.001,0.30044137022397893,76.31664967,0.013103300581512541
50,42,1000,2000,5,128,8,512,0.001,0.30044137022397893,77.7405074,0.012863306832494382
50,42,1000,2000,5,256,8,512,0.001,0.30044137022397893,77.6660362,0.01287564099994587
50,42,1000,2000,5,512,8,512,0.001,0.30044137022397893,78.42144532,0.012751613999454913
50,42,1000,2000,10,128,8,512,0.001,0.30044137022397893,78.3916326,0.012756463500417009
50,42,1000,2000,10,256,8,512,0.001,0.30044137022397893,78.25498428,0.012778738750006685
50,42,1000,2000,10,512,8,512,0.001,0.30044137022397893,78.23018394,0.012782789834253327
50,42,1000,2000,15,128,8,512,0.001,0.30044137022397893,77.65170426,0.012878017418030073
50,42,1000,2000,15,256,8,512,0.001,0.30044137022397893,77.83401025,0.012847854000944271
50,42,1000,2000,15,512,8,512,0.001,0.30044137022397893,78.5836224,0.01272529783508682
50,42,1000,2200,5,128,8,512,0.001,0.30044137022397893,77.35704648,0.012927070583783748
50,42,1000,2200,5,256,8,512,0.001,0.30044137022397893,78.72646868,0.012702208250502212
50,42,1000,2200,5,512,8,512,0.001,0.30044137022397893,77.35498252,0.01292741549959567
50,42,1000,2200,10,128,8,512,0.001,0.30044137022397893,78.15943392,0.012794360832034031
50,42,1000,2200,10,256,8,512,0.001,0.30044137022397893,77.97975256,0.012823841666214182
50,42,1000,2200,10,512,8,512,0.001,0.30044137022397893,74.75979119,0.013376174332249363
50,42,1000,2200,15,128,8,512,0.001,0.30044137022397893,77.42944464,0.012914983500777953
50,42,1000,2200,15,256,8,512,0.001,0.30044137022397893,78.06099914,0.012810494498110775
50,42,1000,2200,15,512,8,512,0.001,0.30044137022397893,77.0872847,0.012972307999843197
50,42,1500,1800,5,128,8,512,0.001,0.2971080368906456,65.32071377,0.015309079498443455
50,42,1500,1800,5,256,8,512,0.001,0.2971080368906456,64.17469035,0.01558246708392571
50,42,1500,1800,5,512,8,512,0.001,0.2971080368906456,64.82666935,0.015425750081359069
50,42,1500,1800,10,128,8,512,0.001,0.2971080368906456,65.20869126,0.015335379083331109
50,42,1500,1800,10,256,8,512,0.001,0.2971080368906456,62.99923481,0.015873208666992697
50,42,1500,1800,10,512,8,512,0.001,0.2971080368906456,65.35814967,0.015300310750061049
50,42,1500,1800,15,128,8,512,0.001,0.2971080368906456,64.54867059,0.015492185832173
50,42,1500,1800,15,256,8,512,0.001,0.2971080368906456,64.29999979,0.015552099584229252
50,42,1500,1800,15,512,8,512,0.001,0.2971080368906456,64.10911748,0.015598405333094286
50,42,1500,2000,5,128,8,512,0.001,0.2971080368906456,64.92629496,0.01540208016822896
50,42,1500,2000,5,256,8,512,0.001,0.2971080368906456,63.56130057,0.015732843586148793
50,42,1500,2000,5,512,8,512,0.001,0.2971080368906456,64.89520004,0.015409460166293062
50,42,1500,2000,10,128,8,512,0.001,0.2971080368906456,64.55282974,0.015491187667956752
50,42,1500,2000,10,256,8,512,0.001,0.2971080368906456,62.55722683,0.01598536333328061
50,42,1500,2000,10,512,8,512,0.001,0.2971080368906456,65.10611398,0.015359540584885634
50,42,1500,2000,15,128,8,512,0.001,0.2971080368906456,64.32999537,0.015544848002061963
50,42,1500,2000,15,256,8,512,0.001,0.2971080368906456,62.64784599,0.015962240747425256
50,42,1500,2000,15,512,8,512,0.001,0.2971080368906456,65.10980301,0.015358670334886644
50,42,1500,2200,5,128,8,512,0.001,0.2971080368906456,65.88215043,0.01517861808506848
50,42,1500,2200,5,256,8,512,0.001,0.2971080368906456,65.08302599,0.015364989331529392
50,42,1500,2200,5,512,8,512,0.001,0.2971080368906456,62.29243253,0.01605331433346098
50,42,1500,2200,10,128,8,512,0.001,0.2971080368906456,63.82650492,0.015667472333843094
50,42,1500,2200,10,256,8,512,0.001,0.2971080368906456,57.50416209,0.017390045583742197
50,42,1500,2200,10,512,8,512,0.001,0.2971080368906456,65.47419784,0.015273192081615275
50,42,1500,2200,15,128,8,512,0.001,0.2971080368906456,65.61820513,0.015239673167207826
50,42,1500,2200,15,256,8,512,0.001,0.2971080368906456,65.64849391,0.015232641915150983
50,42,1500,2200,15,512,8,512,0.001,0.2971080368906456,65.4053157,0.015289277168032994
